実質季節調整系列(寄与度),,,,,,,,,,,,,,,<参考>,,,,,,,,,,,,,"(単位:％,％pt)",,,,
"Real, Seasonally Adjusted Series (Contributions to Quarter-to-Quarter Percent Change in GDP)",,,,,,,,,,,,,,,<cf>,,,,,,,,,,,,,"(%,%pt)",,,,
,国内総生産(支出側),民間最終消費支出,,,民間住宅,民間企業設備,民間在庫変動,政府最終消費支出,公的固定資本形成,公的在庫変動,財貨・サービス,,,,交易利得,国内総所得,海外からの所得,,,国民総所得,,国内需要,民間需要,公的需要,,総固定資本形成,,最終需要,,,,
,,,家計最終消費支出,,,,,,,,純輸出,輸出,輸入,,,,純受取,受取,支払,,,,,,,,,,,,,
,,,,除く持ち家の帰属家賃,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GDP(Expenditure Approach),PrivateConsumption,Consumption ofHouseholds,ExcludingImputed Rent,PrivateResidentialInvestment,Private Non-Resi.Investment,Changein PrivateInventories,GovernmentConsumption,PublicInvestment,Changein PublicInventories,Goods & Services,,,,TradingGains/Losses,GDI,Income from /to the Rest of the World,,,GNI,,DomesticDemand,PrivateDemand,PublicDemand,,Gross Fixed CapitalFormation,,Final Sales of Domestic Product,,,,
,,,,,,,,,,,Net Exports,Exports,Imports,,,,Net,Receipt,Payment,,,,,,,,,,,,,
10-12.,-0.0 ,-0.1 ,-0.1 ,-0.1 ,-0.2 ,0.4 ,-0.3 ,0.1 ,-0.4 ,0.0 ,0.4 ,0.2 ,0.2 ,,0.1 ,0.1 ,0.2 ,0.3 ,-0.1 ,0.3 ,,-0.4 ,-0.2 ,-0.3 ,,-0.2 ,,0.2 ,,,,
1998/ 1- 3.,-1.6 ,-0.1 ,-0.2 ,-0.2 ,-0.1 ,-0.7 ,0.1 ,-0.0 ,-0.5 ,-0.0 ,-0.2 ,-0.3 ,0.1 ,,0.1 ,-1.4 ,-0.1 ,-0.1 ,0.1 ,-1.5 ,,-1.4 ,-0.9 ,-0.5 ,,-1.3 ,,-1.6 ,,,,
4- 6.,-0.6 ,-0.0 ,-0.1 ,-0.1 ,-0.1 ,-0.3 ,-0.4 ,0.1 ,-0.1 ,-0.0 ,0.2 ,-0.2 ,0.4 ,,-0.0 ,-0.6 ,-0.2 ,-0.1 ,-0.1 ,-0.8 ,,-0.8 ,-0.8 ,0.0 ,,-0.4 ,,-0.1 ,,,,
7- 9.,0.1 ,0.5 ,0.4 ,0.4 ,-0.1 ,-0.1 ,-0.5 ,0.1 ,0.3 ,-0.0 ,0.0 ,0.0 ,-0.0 ,,-0.1 ,0.1 ,0.1 ,0.0 ,0.1 ,0.2 ,,0.1 ,-0.3 ,0.4 ,,0.1 ,,0.6 ,,,,
10-12.,0.9 ,-0.1 ,-0.1 ,-0.2 ,-0.1 ,-0.5 ,0.6 ,0.1 ,0.8 ,-0.1 ,0.0 ,-0.2 ,0.2 ,,0.1 ,0.9 ,-0.1 ,-0.3 ,0.2 ,0.8 ,,0.8 ,-0.0 ,0.8 ,,0.3 ,,0.3 ,,,,
1999/ 1- 3.,-1.5 ,0.2 ,0.2 ,0.1 ,-0.1 ,-0.5 ,-1.2 ,0.2 ,0.1 ,0.1 ,-0.2 ,0.0 ,-0.2 ,,0.1 ,-1.3 ,-0.1 ,-0.0 ,-0.1 ,-1.4 ,,-1.2 ,-1.5 ,0.3 ,,-0.4 ,,-0.3 ,,,,
4- 6.,0.5 ,0.1 ,0.1 ,0.0 ,0.3 ,0.1 ,0.0 ,0.2 ,-0.1 ,0.0 ,-0.1 ,0.1 ,-0.2 ,,-0.1 ,0.4 ,0.2 ,0.1 ,0.2 ,0.6 ,,0.6 ,0.5 ,0.0 ,,0.3 ,,0.5 ,,,,
7- 9.,0.6 ,0.4 ,0.4 ,0.3 ,0.0 ,-0.1 ,0.1 ,0.2 ,-0.3 ,-0.0 ,0.2 ,0.4 ,-0.2 ,,-0.2 ,0.4 ,0.0 ,-0.0 ,0.1 ,0.4 ,,0.3 ,0.4 ,-0.1 ,,-0.3 ,,0.5 ,,,,
10-12.,-0.1 ,0.0 ,0.0 ,-0.0 ,-0.2 ,0.2 ,-0.0 ,0.1 ,-0.0 ,-0.1 ,-0.0 ,0.2 ,-0.3 ,,0.2 ,0.1 ,0.1 ,0.0 ,0.0 ,0.2 ,,-0.0 ,-0.0 ,-0.0 ,,-0.0 ,,0.0 ,,,,
2000/ 1- 3.,1.9 ,0.4 ,0.5 ,0.4 ,0.1 ,0.8 ,0.3 ,0.2 ,-0.5 ,0.1 ,0.5 ,0.5 ,-0.0 ,,-0.3 ,1.5 ,-0.1 ,0.1 ,-0.1 ,1.4 ,,1.3 ,1.6 ,-0.2 ,,0.3 ,,1.5 ,,,,
4- 6.,0.6 ,-0.1 ,-0.1 ,-0.1 ,0.1 ,-0.2 ,0.7 ,0.2 ,-0.1 ,-0.0 ,0.0 ,0.3 ,-0.3 ,,0.1 ,0.7 ,0.3 ,0.2 ,0.1 ,1.0 ,,0.6 ,0.5 ,0.1 ,,-0.1 ,,-0.1 ,,,,
7- 9.,-0.0 ,0.1 ,0.1 ,0.1 ,-0.1 ,0.5 ,-0.5 ,0.1 ,-0.1 ,-0.0 ,-0.0 ,0.2 ,-0.2 ,,-0.1 ,-0.1 ,-0.0 ,0.0 ,-0.0 ,-0.1 ,,0.0 ,0.0 ,-0.0 ,,0.3 ,,0.5 ,,,,
10-12.,1.0 ,0.6 ,0.6 ,0.6 ,0.1 ,0.5 ,0.3 ,0.1 ,-0.2 ,-0.0 ,-0.4 ,-0.0 ,-0.3 ,,0.1 ,1.1 ,0.0 ,0.1 ,-0.1 ,1.1 ,,1.4 ,1.5 ,-0.1 ,,0.4 ,,0.8 ,,,,
2001/ 1- 3.,0.6 ,0.2 ,0.2 ,0.2 ,0.0 ,0.0 ,0.4 ,0.0 ,0.3 ,0.0 ,-0.4 ,-0.4 ,-0.0 ,,-0.0 ,0.6 ,0.1 ,0.1 ,-0.0 ,0.6 ,,1.0 ,0.7 ,0.3 ,,0.3 ,,0.2 ,,,,
4- 6.,-0.8 ,0.5 ,0.5 ,0.4 ,-0.3 ,-0.5 ,0.0 ,0.1 ,-0.4 ,-0.0 ,-0.2 ,-0.4 ,0.2 ,,-0.2 ,-0.9 ,-0.0 ,-0.1 ,0.0 ,-1.0 ,,-0.6 ,-0.2 ,-0.3 ,,-1.2 ,,-0.8 ,,,,
7- 9.,-1.2 ,-0.1 ,-0.1 ,-0.2 ,-0.0 ,-0.3 ,-0.9 ,0.0 ,0.0 ,-0.0 ,0.1 ,-0.2 ,0.3 ,,-0.0 ,-1.2 ,-0.0 ,-0.1 ,0.0 ,-1.2 ,,-1.2 ,-1.3 ,0.0 ,,-0.3 ,,-0.3 ,,,,
10-12.,-0.2 ,-0.0 ,-0.0 ,-0.0 ,0.0 ,-0.6 ,0.2 ,0.2 ,-0.1 ,0.0 ,0.1 ,-0.2 ,0.3 ,,0.2 ,-0.0 ,0.1 ,0.0 ,0.1 ,0.1 ,,-0.3 ,-0.4 ,0.1 ,,-0.7 ,,-0.4 ,,,,
2002/ 1- 3.,0.3 ,0.3 ,0.4 ,0.3 ,-0.1 ,-0.1 ,-0.4 ,0.0 ,0.0 ,-0.0 ,0.4 ,0.4 ,-0.1 ,,-0.0 ,0.2 ,-0.0 ,-0.1 ,0.1 ,0.2 ,,-0.1 ,-0.2 ,0.1 ,,-0.1 ,,0.6 ,,,,
4- 6.,0.7 ,0.4 ,0.4 ,0.4 ,0.0 ,-0.2 ,0.2 ,0.0 ,-0.2 ,0.0 ,0.5 ,0.7 ,-0.3 ,,-0.0 ,0.7 ,-0.1 ,-0.1 ,-0.0 ,0.5 ,,0.3 ,0.4 ,-0.1 ,,-0.4 ,,0.5 ,,,,
7- 9.,0.3 ,0.0 ,0.0 ,-0.0 ,-0.0 ,0.2 ,0.2 ,0.1 ,-0.0 ,-0.0 ,-0.2 ,0.1 ,-0.3 ,,-0.0 ,0.3 ,0.0 ,0.1 ,-0.0 ,0.3 ,,0.5 ,0.4 ,0.1 ,,0.2 ,,0.1 ,,,,
10-12.,0.2 ,-0.2 ,-0.2 ,-0.2 ,-0.0 ,-0.0 ,0.4 ,-0.0 ,-0.1 ,-0.0 ,0.2 ,0.4 ,-0.1 ,,0.1 ,0.3 ,-0.1 ,-0.1 ,0.0 ,0.2 ,,0.0 ,0.1 ,-0.1 ,,-0.1 ,,-0.1 ,,,,
2003/ 1- 3.,-0.1 ,0.1 ,0.0 ,-0.0 ,-0.0 ,-0.1 ,-0.2 ,0.1 ,-0.2 ,0.0 ,0.1 ,0.1 ,-0.1 ,,-0.3 ,-0.4 ,0.1 ,0.1 ,0.0 ,-0.3 ,,-0.2 ,-0.2 ,-0.0 ,,-0.2 ,,0.0 ,,,,
4- 6.,0.8 ,0.2 ,0.1 ,0.1 ,0.0 ,0.2 ,-0.1 ,0.1 ,0.0 ,0.0 ,0.3 ,0.0 ,0.3 ,,0.1 ,0.9 ,0.0 ,-0.0 ,0.0 ,1.0 ,,0.5 ,0.3 ,0.2 ,,0.2 ,,0.9 ,,,,
7- 9.,0.3 ,0.0 ,0.0 ,-0.0 ,0.1 ,-0.4 ,0.4 ,0.1 ,-0.2 ,-0.0 ,0.2 ,0.4 ,-0.2 ,,0.0 ,0.3 ,0.3 ,0.3 ,0.0 ,0.6 ,,0.1 ,0.2 ,-0.1 ,,-0.4 ,,-0.1 ,,,,
10-12.,1.0 ,0.6 ,0.6 ,0.6 ,-0.1 ,0.6 ,-0.4 ,0.1 ,-0.1 ,-0.0 ,0.4 ,0.6 ,-0.2 ,,0.1 ,1.0 ,-0.2 ,-0.2 ,0.0 ,0.8 ,,0.6 ,0.8 ,-0.1 ,,0.4 ,,1.5 ,,,,
2004/ 1- 3.,0.9 ,0.1 ,0.1 ,0.1 ,0.1 ,-0.0 ,0.6 ,0.1 ,-0.3 ,0.0 ,0.3 ,0.6 ,-0.3 ,,-0.1 ,0.7 ,0.2 ,0.2 ,0.0 ,0.9 ,,0.6 ,0.7 ,-0.1 ,,-0.2 ,,0.3 ,,,,
4- 6.,-0.1 ,-0.0 ,-0.0 ,-0.0 ,0.1 ,-0.1 ,-0.2 ,-0.1 ,-0.0 ,0.1 ,0.2 ,0.4 ,-0.2 ,,-0.2 ,-0.2 ,0.1 ,0.2 ,-0.0 ,-0.1 ,,-0.3 ,-0.2 ,-0.0 ,,-0.0 ,,0.1 ,,,,
7- 9.,0.6 ,0.4 ,0.4 ,0.3 ,0.0 ,0.1 ,0.2 ,0.1 ,-0.1 ,-0.0 ,-0.1 ,0.1 ,-0.2 ,,-0.0 ,0.5 ,0.1 ,0.1 ,-0.0 ,0.6 ,,0.7 ,0.7 ,-0.0 ,,0.1 ,,0.4 ,,,,
10-12.,-0.4 ,-0.5 ,-0.5 ,-0.5 ,0.0 ,0.3 ,-0.1 ,0.0 ,-0.1 ,0.0 ,-0.1 ,0.2 ,-0.3 ,,0.1 ,-0.3 ,0.1 ,0.1 ,-0.0 ,-0.2 ,,-0.2 ,-0.2 ,-0.0 ,,0.3 ,,-0.3 ,,,,
2005/ 1- 3.,0.6 ,0.5 ,0.5 ,0.5 ,-0.1 ,0.4 ,-0.2 ,0.2 ,-0.1 ,0.0 ,-0.1 ,-0.1 ,0.1 ,,-0.2 ,0.4 ,-0.1 ,0.0 ,-0.1 ,0.3 ,,0.7 ,0.6 ,0.1 ,,0.2 ,,0.8 ,,,,
4- 6.,1.0 ,0.4 ,0.4 ,0.3 ,-0.0 ,0.6 ,0.2 ,-0.1 ,-0.3 ,-0.0 ,0.3 ,0.5 ,-0.2 ,,-0.3 ,0.6 ,0.2 ,0.3 ,-0.0 ,0.8 ,,0.6 ,1.1 ,-0.4 ,,0.2 ,,0.8 ,,,,
7- 9.,0.9 ,0.5 ,0.5 ,0.4 ,0.1 ,0.3 ,-0.2 ,-0.0 ,0.1 ,0.0 ,0.1 ,0.4 ,-0.3 ,,-0.3 ,0.6 ,0.1 ,0.1 ,-0.0 ,0.7 ,,0.8 ,0.7 ,0.1 ,,0.5 ,,1.1 ,,,,
10-12.,0.3 ,0.1 ,0.1 ,0.0 ,0.1 ,-0.3 ,0.0 ,0.1 ,-0.1 ,-0.0 ,0.4 ,0.5 ,-0.0 ,,-0.2 ,0.1 ,0.2 ,0.3 ,-0.1 ,0.3 ,,-0.2 ,-0.1 ,-0.0 ,,-0.4 ,,0.3 ,,,,
2006/ 1- 3.,0.1 ,0.0 ,-0.0 ,-0.0 ,-0.1 ,-0.0 ,-0.1 ,-0.1 ,0.2 ,0.0 ,0.1 ,0.3 ,-0.2 ,,-0.4 ,-0.3 ,0.1 ,0.2 ,-0.1 ,-0.2 ,,-0.0 ,-0.2 ,0.1 ,,0.1 ,,0.1 ,,,,
4- 6.,0.3 ,0.2 ,0.2 ,0.1 ,-0.0 ,0.3 ,-0.2 ,0.1 ,-0.2 ,-0.0 ,0.1 ,0.2 ,-0.2 ,,-0.1 ,0.2 ,-0.0 ,0.0 ,-0.1 ,0.2 ,,0.2 ,0.3 ,-0.1 ,,0.1 ,,0.5 ,,,,
7- 9.,-0.0 ,-0.4 ,-0.4 ,-0.5 ,0.0 ,-0.0 ,0.3 ,0.0 ,-0.2 ,0.0 ,0.3 ,0.3 ,0.0 ,,-0.2 ,-0.2 ,0.1 ,0.1 ,-0.0 ,-0.1 ,,-0.3 ,-0.1 ,-0.2 ,,-0.2 ,,-0.4 ,,,,
10-12.,1.3 ,0.8 ,0.8 ,0.8 ,-0.0 ,0.4 ,-0.0 ,-0.0 ,0.1 ,-0.0 ,0.2 ,0.2 ,-0.0 ,,0.1 ,1.5 ,0.2 ,0.3 ,-0.1 ,1.6 ,,1.2 ,1.1 ,0.0 ,,0.4 ,,1.4 ,,,,
2007/ 1- 3.,0.7 ,-0.2 ,-0.2 ,-0.2 ,0.0 ,0.1 ,0.3 ,0.1 ,0.1 ,-0.0 ,0.3 ,0.4 ,-0.1 ,,-0.1 ,0.6 ,0.2 ,0.3 ,-0.1 ,0.8 ,,0.5 ,0.3 ,0.1 ,,0.2 ,,0.4 ,,,,
4- 6.,0.2 ,0.5 ,0.5 ,0.4 ,-0.1 ,-0.2 ,-0.3 ,0.2 ,-0.1 ,0.1 ,0.2 ,0.4 ,-0.2 ,,-0.1 ,0.0 ,0.1 ,0.0 ,0.1 ,0.1 ,,-0.0 ,-0.1 ,0.1 ,,-0.4 ,,0.4 ,,,,
7- 9.,-0.7 ,-0.6 ,-0.6 ,-0.6 ,-0.4 ,-0.2 ,0.1 ,-0.0 ,-0.0 ,-0.0 ,0.5 ,0.4 ,0.1 ,,-0.3 ,-0.9 ,-0.3 ,0.0 ,-0.3 ,-1.2 ,,-1.2 ,-1.1 ,-0.1 ,,-0.6 ,,-0.8 ,,,,
10-12.,0.6 ,0.3 ,0.3 ,0.3 ,-0.4 ,-0.0 ,0.2 ,0.2 ,0.1 ,0.0 ,0.3 ,0.5 ,-0.2 ,,-0.6 ,-0.1 ,0.3 ,0.1 ,0.2 ,0.2 ,,0.3 ,0.0 ,0.2 ,,-0.4 ,,0.4 ,,,,
2008/ 1- 3.,0.2 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,-0.2 ,-0.0 ,-0.1 ,0.0 ,0.2 ,0.4 ,-0.2 ,,-0.4 ,-0.2 ,-0.1 ,-0.3 ,0.2 ,-0.3 ,,-0.0 ,0.1 ,-0.2 ,,0.1 ,,0.4 ,,,,
4- 6.,-0.5 ,-0.6 ,-0.6 ,-0.6 ,0.2 ,-0.2 ,0.5 ,-0.2 ,-0.1 ,-0.0 ,0.1 ,-0.4 ,0.4 ,,-0.4 ,-0.9 ,-0.6 ,-0.7 ,0.0 ,-1.5 ,,-0.5 ,-0.2 ,-0.4 ,,-0.2 ,,-0.9 ,,,,
7- 9.,-1.1 ,-0.1 ,-0.1 ,-0.1 ,0.1 ,-0.2 ,-0.9 ,0.0 ,0.0 ,-0.0 ,-0.0 ,0.0 ,-0.0 ,,-0.6 ,-1.8 ,0.1 ,0.1 ,0.1 ,-1.6 ,,-1.1 ,-1.1 ,0.0 ,,-0.1 ,,-0.2 ,,,,
10-12.,-2.4 ,-0.7 ,-0.8 ,-0.8 ,-0.0 ,-0.5 ,1.5 ,0.1 ,-0.0 ,0.0 ,-2.6 ,-2.3 ,-0.3 ,,1.5 ,-0.9 ,-0.3 ,-0.3 ,0.1 ,-1.2 ,,0.2 ,0.1 ,0.1 ,,-0.6 ,,-3.9 ,,,,
2009/ 1- 3.,-4.4 ,0.3 ,0.3 ,0.3 ,-0.5 ,-1.0 ,-2.2 ,0.1 ,0.1 ,-0.0 ,-1.2 ,-4.0 ,2.8 ,,1.0 ,-3.4 ,-0.1 ,-0.3 ,0.1 ,-3.4 ,,-3.2 ,-3.4 ,0.1 ,,-1.5 ,,-2.2 ,,,,
4- 6.,1.1 ,-0.3 ,-0.3 ,-0.3 ,-0.4 ,-0.5 ,-0.2 ,0.2 ,0.4 ,0.0 ,1.8 ,1.1 ,0.7 ,,-0.0 ,1.1 ,0.3 ,0.2 ,0.1 ,1.3 ,,-0.7 ,-1.4 ,0.7 ,,-0.5 ,,1.3 ,,,,
7- 9.,-0.6 ,-0.1 ,-0.1 ,-0.2 ,-0.2 ,-0.4 ,-0.4 ,0.2 ,-0.1 ,0.0 ,0.5 ,1.3 ,-0.8 ,,-0.3 ,-1.0 ,-0.1 ,-0.1 ,0.0 ,-1.1 ,,-1.1 ,-1.2 ,0.1 ,,-0.8 ,,-0.2 ,,,,
10-12.,1.6 ,0.7 ,0.7 ,0.7 ,-0.1 ,-0.1 ,0.3 ,0.0 ,0.1 ,0.0 ,0.7 ,1.0 ,-0.4 ,,-0.2 ,1.4 ,-0.0 ,-0.1 ,0.1 ,1.3 ,,0.9 ,0.8 ,0.1 ,,-0.1 ,,1.3 ,,,,
2010/ 1- 3.,1.2 ,0.3 ,0.3 ,0.3 ,0.1 ,0.0 ,0.3 ,-0.1 ,0.1 ,0.0 ,0.4 ,0.8 ,-0.4 ,,-0.1 ,1.1 ,0.2 ,0.3 ,-0.1 ,1.3 ,,0.8 ,0.9 ,-0.1 ,,0.3 ,,0.9 ,,,,
4- 6.,1.4 ,0.5 ,0.5 ,0.5 ,0.0 ,0.1 ,0.6 ,0.4 ,-0.3 ,-0.0 ,0.1 ,0.7 ,-0.6 ,,-0.2 ,1.2 ,-0.1 ,-0.0 ,-0.1 ,1.1 ,,1.3 ,1.3 ,0.1 ,,-0.2 ,,0.8 ,,,,
7- 9.,1.7 ,0.9 ,0.9 ,0.8 ,0.0 ,0.1 ,0.5 ,0.1 ,-0.1 ,-0.0 ,0.2 ,0.4 ,-0.2 ,,-0.1 ,1.7 ,0.1 ,0.1 ,0.0 ,1.8 ,,1.6 ,1.6 ,-0.0 ,,0.1 ,,1.2 ,,,,
10-12.,-0.9 ,-0.9 ,-0.9 ,-0.9 ,0.1 ,-0.1 ,0.0 ,0.1 ,-0.1 ,0.0 ,-0.0 ,0.1 ,-0.1 ,,-0.2 ,-1.0 ,0.1 ,0.1 ,-0.0 ,-1.0 ,,-0.8 ,-0.8 ,0.0 ,,-0.1 ,,-0.9 ,,,,
2011/ 1- 3.,-1.4 ,-1.2 ,-1.2 ,-1.2 ,0.1 ,0.1 ,-0.3 ,0.1 ,-0.1 ,-0.0 ,-0.3 ,-0.1 ,-0.2 ,,-0.4 ,-1.9 ,0.1 ,0.1 ,0.0 ,-1.7 ,,-1.2 ,-1.2 ,0.1 ,,0.2 ,,-1.1 ,,,,
4- 6.,-0.6 ,0.6 ,0.6 ,0.6 ,-0.1 ,-0.1 ,-0.2 ,0.1 ,0.1 ,0.0 ,-1.1 ,-1.1 ,0.1 ,,-0.5 ,-1.1 ,-0.0 ,-0.0 ,0.0 ,-1.1 ,,0.4 ,0.3 ,0.2 ,,-0.1 ,,-0.5 ,,,,
7- 9.,2.4 ,0.6 ,0.5 ,0.5 ,0.1 ,0.2 ,0.7 ,0.1 ,-0.1 ,0.0 ,0.8 ,1.3 ,-0.5 ,,-0.2 ,2.3 ,-0.0 ,-0.0 ,-0.0 ,2.2 ,,1.6 ,1.6 ,-0.0 ,,0.2 ,,1.7 ,,,,
10-12.,0.0 ,0.6 ,0.6 ,0.5 ,-0.1 ,1.0 ,-0.7 ,0.1 ,-0.1 ,-0.0 ,-0.7 ,-0.4 ,-0.3 ,,-0.0 ,-0.0 ,-0.2 ,-0.2 ,-0.0 ,-0.2 ,,0.7 ,0.8 ,-0.1 ,,0.8 ,,0.8 ,,,,
2012/ 1- 3.,1.5 ,0.1 ,0.1 ,0.1 ,-0.0 ,-0.1 ,0.8 ,0.2 ,0.3 ,0.0 ,0.2 ,0.4 ,-0.2 ,,-0.1 ,1.4 ,-0.0 ,0.0 ,-0.0 ,1.3 ,,1.3 ,0.8 ,0.5 ,,0.1 ,,0.7 ,,,,
4- 6.,-0.9 ,0.1 ,0.1 ,0.1 ,0.1 ,-0.0 ,-0.6 ,-0.0 ,0.1 ,0.0 ,-0.5 ,-0.1 ,-0.3 ,,-0.1 ,-1.0 ,-0.0 ,0.1 ,-0.1 ,-1.0 ,,-0.4 ,-0.5 ,0.0 ,,0.1 ,,-0.3 ,,,,
7- 9.,-0.4 ,0.1 ,0.1 ,0.0 ,0.1 ,-0.1 ,0.1 ,0.1 ,-0.1 ,0.0 ,-0.5 ,-0.5 ,0.0 ,,0.4 ,-0.0 ,0.1 ,-0.0 ,0.1 ,0.1 ,,0.1 ,0.1 ,-0.0 ,,-0.1 ,,-0.5 ,,,,
