財務省,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ministry of Finance　,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
外貨準備等の状況,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
International Reserves/Foreign Currency Liquidity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
（単位：百万ドル）　,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
（US$ millions),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Ｉ．外貨準備及びその他外貨資産,,,,,,,,,,,,,,,,,,,,,,II．短期の外貨建債務等,,,,,,,,,,,,,,,,,,,,,III．短期の外貨建偶発債務等,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IV．メモ項目,,,,,,,,,,,,,,,,,,
,,,,,,,of which: issuer headquartered in Japan,,,,of which: located abroad,,of which: located in Japan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
平成12年,4月,2000,Apr,338582,324109,252396,,71713,7619,43623,,20471,20471,5382,2427,6664,24.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3372,-476,-463,-2433,-3372,-476,-463,-2433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,338474,108
,5月,,May,341136,326694,255902,,70792,6395,43622,,20775,20775,5350,2496,6596,24.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3279,-464,-150,-2665,-3279,-464,-150,-2665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6月,,Jun,344846,329945,261435,,68510,5441,41212,,21857,21857,5421,2499,6981,24.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3386,,-369,-3017,-3386,,-369,-3017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7月,,Jul,344881,330430,262521,,67909,5306,40962,,21641,21641,5252,2406,6793,24.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3856,-150,-723,-2983,-3856,-150,-723,-2983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8月,,Aug,344853,330744,265356,,65388,5200,39657,,20531,20531,4855,2454,6800,24.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4530,-204,-1002,-3324,-4530,-204,-1002,-3324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9月,,Sep,348948,334971,267057,,67914,6507,40274,,21133,21133,4829,2430,6718,24.55,,,,,,,,,,,,,-1324,,-1324,,-1324,,-1324,,,,,,,,,,,-4622,-503,-798,-3321,-4622,-503,-798,-3321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10月,,Oct,349055,335497,268914,,66583,6521,39499,,20563,20563,4723,2342,6493,24.55,,,,,,,,,,,,,-1273,,-1273,,-1273,,-1273,,,,,,,,,,,-4320,-501,-281,-3538,-4320,-501,-281,-3538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11月,,Nov,354558,340844,273289,,67555,8113,39137,,20305,20305,4695,2413,6606,24.55,,,,,,,,,,,,,-2565,-1273,-1292,,-2565,-1273,-1292,,,,,,,,,,,-4033,-291,-750,-2992,-4033,-291,-750,-2992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,12月,,Dec,361638,347212,279544,,67668,8252,39125,,20291,20291,5253,2436,6737,24.55,,,,,,,,,,,,,-2719,,-2719,,-2719,,-2719,,,,,,,,,,,-3754,,-750,-3004,-3754,,-750,-3004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
